temp,feels_like,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,visibility,weather_main,weather_desc,lat,lon,altitude,sea_level,dew_point,clouds,day_of_week,train_number,train_name,origin_code,dest_code,origin_name,dest_name,scheduled_arr_time,actual_arr_time,scheduled_dept_time,actual_dept_time,dwell_minutes,day_of_journey,curr_station_code,tracks_on_route,maintenance_type,trains_nearby
291.23620356542085,285.5539878651586,285.8511705120772,302.18108982626694,74.3,1018,0.86,151,50.22,Rain,heavy rain,20.6967,75.93,844.9,291.23620356542085,11.43,85.94,Friday,12582,Train_12582,ALD,ALD,ALD,ALD,9/12/2025 12:46,9/12/2025 12:49,9/12/2025 13:47,9/12/2025 13:56,8,30,ALD,5,None,14
308.5214291922975,296.25702842135075,285.40936397216,305.90044191574117,88.3,1007,8.82,200,76.74,Clouds,overcast clouds,33.7701,73.1857,1432.1,308.5214291922975,13.61,10.16,Tuesday,12588,Train_12588,PUNE,BBS,PUNE,BBS,9/12/2025 13:09,9/12/2025 13:09,9/12/2025 14:12,9/12/2025 14:15,51,16,PUNE,3,Major,8
301.95981825434217,306.18837507629223,305.1876374156311,289.51403696377497,85.6,1006,12.61,127,88.91,Fog,dense fog,11.1232,78.7078,311.4,301.95981825434217,9.86,34.7,Wednesday,12053,Train_12053,PNBE,VSKP,PNBE,VSKP,9/12/2025 6:50,9/12/2025 6:50,9/12/2025 7:51,9/12/2025 7:00,56,19,PNBE,4,Major,2
297.9597545259111,301.9667465922868,285.4863859954852,300.74622298821,49.2,1015,0.26,286,74.27,Rain,light rain,33.5491,78.038,1100.0,297.9597545259111,6.34,53.83,Sunday,12276,Train_12276,NDLS,CSTM,NDLS,CSTM,9/12/2025 9:53,9/12/2025 9:57,9/12/2025 10:53,9/12/2025 10:58,5,16,NDLS,4,Major,14
284.6805592132731,304.19683443584347,286.15849178385895,299.15237949431247,49.0,1018,0.74,310,54.8,Clear,clear sky,27.8008,81.5144,1227.7,284.6805592132731,7.89,81.13,Monday,12110,Train_12110,ALD,MAS,ALD,MAS,9/12/2025 2:59,9/12/2025 2:00,9/12/2025 3:00,9/12/2025 3:05,56,27,ALD,1,None,14
284.67983561008606,299.7635010013215,300.7819478725389,306.9849113036481,56.1,1005,8.59,252,62.83,Rain,light rain,25.2125,81.6677,1034.7,284.67983561008606,11.62,21.64,Thursday,12223,Train_12223,NDLS,MAS,NDLS,MAS,9/12/2025 1:59,9/12/2025 1:02,9/12/2025 2:02,9/12/2025 2:12,51,7,NDLS,1,Minor,7
281.742508365046,300.76829693553555,291.4921952735162,309.1826118144378,61.7,1019,12.29,265,84.71,Clouds,scattered clouds,25.4225,84.9997,930.0,281.742508365046,11.13,80.29,Sunday,12074,Train_12074,CSTM,VSKP,CSTM,VSKP,9/12/2025 18:44,9/12/2025 18:45,9/12/2025 19:45,9/12/2025 19:54,39,11,CSTM,2,None,11
305.9852843732481,305.4758695469596,301.30131670865546,282.3647031443216,64.5,1020,4.9,187,59.3,Fog,dense fog,30.3216,80.1978,869.0,305.9852843732481,10.31,39.96,Saturday,12505,Train_12505,MAS,VSKP,MAS,VSKP,9/12/2025 6:29,9/12/2025 6:31,9/12/2025 7:32,9/12/2025 7:41,17,12,MAS,1,None,10
298.03345035229626,287.4900402657756,279.96098472693154,302.2205975717638,80.8,1010,5.24,229,74.31,Rain,light rain,10.8868,72.0965,1298.3,298.03345035229626,11.83,18.89,Wednesday,12013,Train_12013,BBS,NDLS,BBS,NDLS,9/12/2025 4:55,9/12/2025 4:58,9/12/2025 5:59,9/12/2025 5:06,54,4,BBS,1,Minor,10
301.2421773338814,294.6827489092942,292.62713581020154,283.55507397359185,43.4,1004,8.95,270,66.11,Fog,dense fog,21.6284,87.1658,1241.4,301.2421773338814,11.37,75.9,Monday,12970,Train_12970,PUNE,PUNE,PUNE,PUNE,9/12/2025 2:10,9/12/2025 2:10,9/12/2025 3:13,9/12/2025 3:23,49,30,PUNE,3,None,7
280.61753482887406,286.6362832545881,279.0084080054985,298.4657599523207,42.1,1015,4.11,258,58.31,Clear,bright and sunny,26.8215,76.1953,227.3,280.61753482887406,13.81,9.09,Monday,12769,Train_12769,ALD,VSKP,ALD,VSKP,9/12/2025 1:53,9/12/2025 1:57,9/12/2025 2:56,9/12/2025 2:06,46,16,ALD,5,Minor,11
309.09729556485985,309.6300402398994,279.8795961036606,290.6289818713104,63.5,1006,0.4,298,82.54,Thunderstorm,thunderstorm,23.8442,89.4259,1280.5,309.09729556485985,10.86,51.48,Monday,12481,Train_12481,MAS,DDN,MAS,DDN,9/12/2025 22:33,9/12/2025 22:34,9/12/2025 23:36,9/12/2025 23:41,35,28,MAS,2,Major,12
304.97327922401263,308.3217801905984,305.19312360033234,291.2032979856642,81.8,1004,11.03,197,79.71,Clear,clear sky,30.485,72.3572,650.4,304.97327922401263,12.79,6.39,Wednesday,12188,Train_12188,JAT,JAT,JAT,JAT,9/12/2025 21:20,9/12/2025 21:20,9/12/2025 22:24,9/12/2025 22:31,24,26,JAT,3,Minor,14
286.3701733203483,281.1828043410552,282.1773611335279,292.5887551035707,51.6,1010,9.38,322,76.46,Thunderstorm,thunderstorm,9.9513,89.165,417.9,286.3701733203483,7.49,35.64,Friday,12363,Train_12363,NDLS,JAT,NDLS,JAT,9/12/2025 5:58,9/12/2025 5:02,9/12/2025 6:00,9/12/2025 6:07,11,16,NDLS,2,Major,13
285.45474901621304,301.16725517547064,293.97262046825654,300.6387734714883,78.5,1014,8.71,55,59.45,Haze,mist,26.6489,71.8202,1311.2,285.45474901621304,11.78,60.11,Friday,12238,Train_12238,CSTM,ALD,CSTM,ALD,9/12/2025 13:12,9/12/2025 13:12,9/12/2025 14:15,9/12/2025 14:23,44,7,CSTM,5,Minor,8
285.502135295603,307.75744952247,290.3328680780212,292.0214989700631,55.6,1002,11.13,318,53.91,Thunderstorm,thunderstorm,22.4187,74.6207,676.4,285.502135295603,14.02,55.61,Saturday,12400,Train_12400,NDLS,PNBE,NDLS,PNBE,9/12/2025 6:53,9/12/2025 6:56,9/12/2025 7:55,9/12/2025 7:01,37,25,NDLS,2,Major,1
289.12726728878613,285.41726035382,288.42029978776526,303.98097151770844,93.2,1004,10.13,202,73.05,Haze,mist,18.2373,70.9316,1222.1,289.12726728878613,8.86,40.47,Friday,12845,Train_12845,PNBE,ALD,PNBE,ALD,9/12/2025 21:24,9/12/2025 21:25,9/12/2025 22:24,9/12/2025 22:38,32,30,PNBE,1,None,8
295.74269294896715,297.0383569165789,304.9950003706182,294.1358215672161,93.7,1022,3.09,270,72.15,Rain,light rain,17.1874,84.1023,431.9,295.74269294896715,12.79,42.9,Sunday,12984,Train_12984,VSKP,NDLS,VSKP,NDLS,9/12/2025 1:53,9/12/2025 1:55,9/12/2025 2:54,9/12/2025 2:58,54,13,VSKP,5,Minor,14
292.95835055926347,307.46464892764124,278.6547019032647,284.0505960092988,57.8,1020,5.29,108,57.54,Haze,mist,24.7625,87.006,55.7,292.95835055926347,12.25,22.68,Thursday,12303,Train_12303,CSTM,BBS,CSTM,BBS,9/12/2025 10:57,9/12/2025 10:57,9/12/2025 11:59,9/12/2025 11:05,48,5,CSTM,3,None,1
288.73687420594126,281.01837935757396,297.91369058526766,305.5127952745232,53.8,1004,1.89,115,52.25,Fog,fog,32.0569,78.6814,768.4,288.73687420594126,5.6,45.59,Monday,12090,Train_12090,CSTM,PNBE,CSTM,PNBE,9/12/2025 20:20,9/12/2025 20:21,9/12/2025 21:20,9/12/2025 21:34,54,30,CSTM,3,Major,3
298.35558684167137,300.9226080174052,306.9018330264065,290.5727497377812,64.7,1008,1.95,91,53.23,Haze,hazy sky,21.3968,88.5704,195.3,298.35558684167137,10.82,95.33,Saturday,12391,Train_12391,BBS,BBS,BBS,BBS,9/12/2025 2:00,9/12/2025 2:03,9/12/2025 3:01,9/12/2025 3:07,48,1,BBS,4,Minor,9
284.18481581956127,288.9204702211765,294.80504550385524,294.98300638797787,54.4,1014,10.14,137,89.71,Fog,dense fog,30.2675,81.806,1143.8,284.18481581956127,6.3,85.05,Saturday,12183,Train_12183,PUNE,JAT,PUNE,JAT,9/12/2025 8:57,9/12/2025 8:57,9/12/2025 9:00,9/12/2025 9:10,24,5,PUNE,3,Minor,4
288.7643394560565,307.7318858612959,306.10467386099276,302.563316496657,80.3,1002,12.88,302,81.34,Thunderstorm,thunderstorm with rain,18.8582,82.6001,450.3,288.7643394560565,14.67,14.52,Monday,12016,Train_12016,JAT,JAT,JAT,JAT,9/12/2025 7:04,9/12/2025 7:07,9/12/2025 8:07,9/12/2025 8:13,36,22,JAT,4,Minor,10
290.99085529881074,309.131747354961,279.5677363785807,291.97368471446134,89.6,1005,14.44,56,86.88,Thunderstorm,thunderstorm,10.7647,86.9084,693.3,290.99085529881074,13.11,2.98,Sunday,12964,Train_12964,JAT,JAT,JAT,JAT,9/12/2025 10:52,9/12/2025 10:54,9/12/2025 11:55,9/12/2025 11:00,13,14,JAT,1,None,13
293.6820995265111,308.327994673403,290.56379957222487,283.69756968440146,80.4,1016,9.43,49,57.8,Thunderstorm,thunderstorm with rain,9.6607,75.936,176.2,293.6820995265111,6.1,93.35,Friday,12011,Train_12011,BBS,VSKP,BBS,VSKP,9/12/2025 17:21,9/12/2025 17:23,9/12/2025 18:25,9/12/2025 18:33,38,11,BBS,3,Major,9
303.5552788417904,294.2264264997239,285.80473372886155,293.2176314103844,89.5,1020,2.76,70,88.42,Haze,mist,9.386,77.0853,465.7,303.5552788417904,6.22,52.67,Monday,12165,Train_12165,NDLS,NDLS,NDLS,NDLS,9/12/2025 0:06,9/12/2025 0:10,9/12/2025 1:10,9/12/2025 1:15,18,2,NDLS,5,None,1
285.9902134647508,305.8612795296794,299.9246289494219,310.3334574808291,63.8,1007,1.58,81,55.71,Thunderstorm,thunderstorm,18.2641,88.119,1183.2,285.9902134647508,10.94,53.78,Monday,12145,Train_12145,DDN,DDN,DDN,DDN,9/12/2025 14:12,9/12/2025 14:16,9/12/2025 15:16,9/12/2025 15:19,8,24,DDN,4,Minor,8
295.42703315240834,305.3364819560521,307.4389127149174,301.25203191895673,49.4,1020,12.19,104,70.36,Haze,mist,17.1054,88.0193,269.8,295.42703315240834,8.45,78.07,Wednesday,12281,Train_12281,MAS,ALD,MAS,ALD,9/12/2025 3:44,9/12/2025 3:48,9/12/2025 4:48,9/12/2025 4:50,33,29,MAS,3,Major,3
297.77243706586125,289.57301419729765,285.69590187332744,302.1443744600162,84.3,1024,8.68,87,83.19,Haze,mist,27.3843,89.5297,988.4,297.77243706586125,5.35,31.47,Tuesday,12990,Train_12990,DDN,BBS,DDN,BBS,9/12/2025 3:51,9/12/2025 3:54,9/12/2025 4:51,9/12/2025 4:03,19,18,DDN,1,Major,11
281.3935123815999,304.8674642245203,297.6252380442222,300.96846460912917,61.6,1010,9.27,1,63.99,Clouds,scattered clouds,28.0562,88.0368,1380.3,281.3935123815999,10.42,48.19,Saturday,12548,Train_12548,PNBE,CSTM,PNBE,CSTM,9/12/2025 9:22,9/12/2025 9:26,9/12/2025 10:22,9/12/2025 10:28,21,15,PNBE,5,None,7
298.22634555704315,281.1102290414648,283.9429289827922,287.9697641687831,80.3,1005,11.72,359,66.99,Clouds,overcast clouds,9.3731,72.5474,1035.8,298.22634555704315,8.88,96.87,Sunday,12581,Train_12581,JAT,ALD,JAT,ALD,9/12/2025 10:20,9/12/2025 10:21,9/12/2025 11:23,9/12/2025 11:32,23,14,JAT,5,None,2
285.11572371061874,297.8880963544616,294.9599076371483,294.55001592306843,56.2,1007,10.55,83,55.13,Haze,mist,13.9703,86.4745,1226.0,285.11572371061874,6.01,67.21,Sunday,12168,Train_12168,PUNE,MAS,PUNE,MAS,9/12/2025 17:05,9/12/2025 17:08,9/12/2025 18:06,9/12/2025 18:14,42,25,PUNE,1,Minor,13
281.9515477895584,286.90026511863107,291.9179746006501,304.52819395089955,44.9,1009,12.52,42,54.92,Fog,dense fog,15.4051,78.1968,208.0,281.9515477895584,13.02,15.37,Friday,12846,Train_12846,VSKP,PUNE,VSKP,PUNE,9/12/2025 22:19,9/12/2025 22:22,9/12/2025 23:23,9/12/2025 23:31,13,30,VSKP,3,Minor,7
308.4665661176,283.61700657331835,307.1601598889461,285.0411869265948,99.6,1023,0.84,153,74.78,Rain,moderate rain,22.7855,89.816,413.6,308.4665661176,14.15,13.32,Sunday,12169,Train_12169,NDLS,PNBE,NDLS,PNBE,9/12/2025 14:11,9/12/2025 14:15,9/12/2025 15:12,9/12/2025 15:20,31,13,NDLS,2,Minor,7
308.96896099223676,282.30859604887627,296.255818180894,290.33558328269135,49.4,1002,11.21,326,77.02,Clear,clear sky,11.9019,79.4456,1347.1,308.96896099223676,12.57,20.43,Friday,12764,Train_12764,PUNE,BBS,PUNE,BBS,9/12/2025 2:39,9/12/2025 2:43,9/12/2025 3:39,9/12/2025 3:44,53,2,PUNE,3,Minor,9
304.2519204434938,300.8886632763442,288.48519116260456,290.2895732539756,99.3,1022,12.76,93,81.09,Clouds,scattered clouds,11.6164,81.0767,1086.9,304.2519204434938,13.22,76.67,Wednesday,12345,Train_12345,PUNE,NDLS,PUNE,NDLS,9/12/2025 6:08,9/12/2025 6:11,9/12/2025 7:12,9/12/2025 7:14,19,19,PUNE,4,Major,2
289.13841307520113,290.196248913042,281.422873546638,294.9605678278352,98.6,1013,4.29,297,72.27,Haze,mist,33.4823,80.5955,977.4,289.13841307520113,7.16,29.54,Wednesday,12498,Train_12498,ALD,JAT,ALD,JAT,9/12/2025 6:49,9/12/2025 6:51,9/12/2025 7:49,9/12/2025 7:59,41,8,ALD,4,Minor,8
282.9301634201915,301.7430031458629,282.53740486204805,311.41106222826556,87.6,1022,9.61,132,75.83,Clear,clear sky,29.7135,76.4347,1012.5,282.9301634201915,7.64,2.14,Thursday,12459,Train_12459,CSTM,MAS,CSTM,MAS,9/12/2025 16:27,9/12/2025 16:29,9/12/2025 17:27,9/12/2025 17:34,32,27,CSTM,3,Minor,5
300.5269907953647,281.9606902239683,284.75950789853704,284.02507640051465,79.6,1013,4.71,64,50.54,Clouds,scattered clouds,12.8777,71.5004,650.6,300.5269907953647,7.09,94.42,Friday,12296,Train_12296,MAS,PUNE,MAS,PUNE,9/12/2025 21:10,9/12/2025 21:14,9/12/2025 22:12,9/12/2025 22:22,54,22,MAS,4,Minor,10
293.204574812188,289.4587101349183,285.52899984020894,297.56102983141784,74.7,1009,14.37,289,56.49,Rain,light rain,18.9773,87.913,114.6,293.204574812188,12.65,16.97,Saturday,12942,Train_12942,CSTM,BBS,CSTM,BBS,9/12/2025 19:51,9/12/2025 19:53,9/12/2025 20:51,9/12/2025 20:00,59,17,CSTM,2,None,9
